Absolute path,Relative path,Class
D:\lab1\dataset\leopard\0026.jpg,dataset\leopard\0026.jpg,leopard
D:\lab1\dataset\leopard\0027.jpg,dataset\leopard\0027.jpg,leopard
D:\lab1\dataset\leopard\0028.jpg,dataset\leopard\0028.jpg,leopard
D:\lab1\dataset\leopard\0029.jpg,dataset\leopard\0029.jpg,leopard
D:\lab1\dataset\leopard\0030.jpg,dataset\leopard\0030.jpg,leopard
D:\lab1\dataset\leopard\0031.jpg,dataset\leopard\0031.jpg,leopard
D:\lab1\dataset\leopard\0032.jpg,dataset\leopard\0032.jpg,leopard
D:\lab1\dataset\leopard\0033.jpg,dataset\leopard\0033.jpg,leopard
D:\lab1\dataset\leopard\0034.jpg,dataset\leopard\0034.jpg,leopard
D:\lab1\dataset\leopard\0035.jpg,dataset\leopard\0035.jpg,leopard
D:\lab1\dataset\leopard\0036.jpg,dataset\leopard\0036.jpg,leopard
D:\lab1\dataset\leopard\0037.jpg,dataset\leopard\0037.jpg,leopard
D:\lab1\dataset\leopard\0038.jpg,dataset\leopard\0038.jpg,leopard
D:\lab1\dataset\leopard\0039.jpg,dataset\leopard\0039.jpg,leopard
D:\lab1\dataset\leopard\0040.jpg,dataset\leopard\0040.jpg,leopard
D:\lab1\dataset\leopard\0041.jpg,dataset\leopard\0041.jpg,leopard
D:\lab1\dataset\leopard\0042.jpg,dataset\leopard\0042.jpg,leopard
D:\lab1\dataset\leopard\0043.jpg,dataset\leopard\0043.jpg,leopard
D:\lab1\dataset\leopard\0044.jpg,dataset\leopard\0044.jpg,leopard
D:\lab1\dataset\leopard\0045.jpg,dataset\leopard\0045.jpg,leopard
D:\lab1\dataset\leopard\0046.jpg,dataset\leopard\0046.jpg,leopard
D:\lab1\dataset\leopard\0047.jpg,dataset\leopard\0047.jpg,leopard
D:\lab1\dataset\leopard\0048.jpg,dataset\leopard\0048.jpg,leopard
D:\lab1\dataset\leopard\0049.jpg,dataset\leopard\0049.jpg,leopard
D:\lab1\dataset\leopard\0050.jpg,dataset\leopard\0050.jpg,leopard
D:\lab1\dataset\leopard\0051.jpg,dataset\leopard\0051.jpg,leopard
D:\lab1\dataset\leopard\0052.jpg,dataset\leopard\0052.jpg,leopard
D:\lab1\dataset\leopard\0053.jpg,dataset\leopard\0053.jpg,leopard
D:\lab1\dataset\leopard\0054.jpg,dataset\leopard\0054.jpg,leopard
D:\lab1\dataset\leopard\0055.jpg,dataset\leopard\0055.jpg,leopard
D:\lab1\dataset\leopard\0056.jpg,dataset\leopard\0056.jpg,leopard
D:\lab1\dataset\leopard\0057.jpg,dataset\leopard\0057.jpg,leopard
D:\lab1\dataset\leopard\0058.jpg,dataset\leopard\0058.jpg,leopard
D:\lab1\dataset\leopard\0059.jpg,dataset\leopard\0059.jpg,leopard
D:\lab1\dataset\leopard\0060.jpg,dataset\leopard\0060.jpg,leopard
D:\lab1\dataset\leopard\0061.jpg,dataset\leopard\0061.jpg,leopard
D:\lab1\dataset\leopard\0062.jpg,dataset\leopard\0062.jpg,leopard
D:\lab1\dataset\leopard\0063.jpg,dataset\leopard\0063.jpg,leopard
D:\lab1\dataset\leopard\0064.jpg,dataset\leopard\0064.jpg,leopard
D:\lab1\dataset\leopard\0065.jpg,dataset\leopard\0065.jpg,leopard
D:\lab1\dataset\leopard\0066.jpg,dataset\leopard\0066.jpg,leopard
D:\lab1\dataset\leopard\0067.jpg,dataset\leopard\0067.jpg,leopard
D:\lab1\dataset\leopard\0068.jpg,dataset\leopard\0068.jpg,leopard
D:\lab1\dataset\leopard\0069.jpg,dataset\leopard\0069.jpg,leopard
D:\lab1\dataset\leopard\0070.jpg,dataset\leopard\0070.jpg,leopard
D:\lab1\dataset\leopard\0071.jpg,dataset\leopard\0071.jpg,leopard
D:\lab1\dataset\leopard\0072.jpg,dataset\leopard\0072.jpg,leopard
D:\lab1\dataset\leopard\0073.jpg,dataset\leopard\0073.jpg,leopard
D:\lab1\dataset\leopard\0074.jpg,dataset\leopard\0074.jpg,leopard
D:\lab1\dataset\leopard\0075.jpg,dataset\leopard\0075.jpg,leopard
D:\lab1\dataset\leopard\0076.jpg,dataset\leopard\0076.jpg,leopard
D:\lab1\dataset\leopard\0077.jpg,dataset\leopard\0077.jpg,leopard
D:\lab1\dataset\leopard\0078.jpg,dataset\leopard\0078.jpg,leopard
D:\lab1\dataset\leopard\0079.jpg,dataset\leopard\0079.jpg,leopard
D:\lab1\dataset\leopard\0080.jpg,dataset\leopard\0080.jpg,leopard
D:\lab1\dataset\leopard\0081.jpg,dataset\leopard\0081.jpg,leopard
D:\lab1\dataset\leopard\0082.jpg,dataset\leopard\0082.jpg,leopard
D:\lab1\dataset\leopard\0083.jpg,dataset\leopard\0083.jpg,leopard
D:\lab1\dataset\leopard\0084.jpg,dataset\leopard\0084.jpg,leopard
D:\lab1\dataset\leopard\0085.jpg,dataset\leopard\0085.jpg,leopard
D:\lab1\dataset\leopard\0086.jpg,dataset\leopard\0086.jpg,leopard
D:\lab1\dataset\leopard\0087.jpg,dataset\leopard\0087.jpg,leopard
D:\lab1\dataset\leopard\0088.jpg,dataset\leopard\0088.jpg,leopard
D:\lab1\dataset\leopard\0089.jpg,dataset\leopard\0089.jpg,leopard
D:\lab1\dataset\leopard\0090.jpg,dataset\leopard\0090.jpg,leopard
D:\lab1\dataset\leopard\0091.jpg,dataset\leopard\0091.jpg,leopard
D:\lab1\dataset\leopard\0092.jpg,dataset\leopard\0092.jpg,leopard
D:\lab1\dataset\leopard\0093.jpg,dataset\leopard\0093.jpg,leopard
D:\lab1\dataset\leopard\0094.jpg,dataset\leopard\0094.jpg,leopard
D:\lab1\dataset\leopard\0095.jpg,dataset\leopard\0095.jpg,leopard
D:\lab1\dataset\leopard\0096.jpg,dataset\leopard\0096.jpg,leopard
D:\lab1\dataset\leopard\0097.jpg,dataset\leopard\0097.jpg,leopard
D:\lab1\dataset\leopard\0098.jpg,dataset\leopard\0098.jpg,leopard
D:\lab1\dataset\leopard\0099.jpg,dataset\leopard\0099.jpg,leopard
D:\lab1\dataset\leopard\0100.jpg,dataset\leopard\0100.jpg,leopard
D:\lab1\dataset\leopard\0101.jpg,dataset\leopard\0101.jpg,leopard
D:\lab1\dataset\leopard\0102.jpg,dataset\leopard\0102.jpg,leopard
D:\lab1\dataset\leopard\0103.jpg,dataset\leopard\0103.jpg,leopard
D:\lab1\dataset\leopard\0104.jpg,dataset\leopard\0104.jpg,leopard
D:\lab1\dataset\leopard\0105.jpg,dataset\leopard\0105.jpg,leopard
D:\lab1\dataset\leopard\0106.jpg,dataset\leopard\0106.jpg,leopard
D:\lab1\dataset\leopard\0107.jpg,dataset\leopard\0107.jpg,leopard
D:\lab1\dataset\leopard\0108.jpg,dataset\leopard\0108.jpg,leopard
D:\lab1\dataset\leopard\0109.jpg,dataset\leopard\0109.jpg,leopard
D:\lab1\dataset\leopard\0110.jpg,dataset\leopard\0110.jpg,leopard
D:\lab1\dataset\leopard\0111.jpg,dataset\leopard\0111.jpg,leopard
D:\lab1\dataset\leopard\0112.jpg,dataset\leopard\0112.jpg,leopard
D:\lab1\dataset\leopard\0113.jpg,dataset\leopard\0113.jpg,leopard
D:\lab1\dataset\leopard\0114.jpg,dataset\leopard\0114.jpg,leopard
D:\lab1\dataset\leopard\0115.jpg,dataset\leopard\0115.jpg,leopard
D:\lab1\dataset\leopard\0116.jpg,dataset\leopard\0116.jpg,leopard
D:\lab1\dataset\leopard\0117.jpg,dataset\leopard\0117.jpg,leopard
D:\lab1\dataset\leopard\0118.jpg,dataset\leopard\0118.jpg,leopard
D:\lab1\dataset\leopard\0119.jpg,dataset\leopard\0119.jpg,leopard
D:\lab1\dataset\leopard\0120.jpg,dataset\leopard\0120.jpg,leopard
D:\lab1\dataset\leopard\0121.jpg,dataset\leopard\0121.jpg,leopard
D:\lab1\dataset\leopard\0122.jpg,dataset\leopard\0122.jpg,leopard
D:\lab1\dataset\leopard\0123.jpg,dataset\leopard\0123.jpg,leopard
D:\lab1\dataset\leopard\0124.jpg,dataset\leopard\0124.jpg,leopard
D:\lab1\dataset\leopard\0125.jpg,dataset\leopard\0125.jpg,leopard
D:\lab1\dataset\leopard\0126.jpg,dataset\leopard\0126.jpg,leopard
D:\lab1\dataset\leopard\0127.jpg,dataset\leopard\0127.jpg,leopard
D:\lab1\dataset\leopard\0128.jpg,dataset\leopard\0128.jpg,leopard
D:\lab1\dataset\leopard\0129.jpg,dataset\leopard\0129.jpg,leopard
D:\lab1\dataset\leopard\0130.jpg,dataset\leopard\0130.jpg,leopard
D:\lab1\dataset\leopard\0131.jpg,dataset\leopard\0131.jpg,leopard
D:\lab1\dataset\leopard\0132.jpg,dataset\leopard\0132.jpg,leopard
D:\lab1\dataset\leopard\0133.jpg,dataset\leopard\0133.jpg,leopard
D:\lab1\dataset\leopard\0134.jpg,dataset\leopard\0134.jpg,leopard
D:\lab1\dataset\leopard\0135.jpg,dataset\leopard\0135.jpg,leopard
D:\lab1\dataset\leopard\0136.jpg,dataset\leopard\0136.jpg,leopard
D:\lab1\dataset\leopard\0137.jpg,dataset\leopard\0137.jpg,leopard
D:\lab1\dataset\leopard\0138.jpg,dataset\leopard\0138.jpg,leopard
D:\lab1\dataset\leopard\0139.jpg,dataset\leopard\0139.jpg,leopard
D:\lab1\dataset\leopard\0140.jpg,dataset\leopard\0140.jpg,leopard
D:\lab1\dataset\leopard\0141.jpg,dataset\leopard\0141.jpg,leopard
D:\lab1\dataset\leopard\0142.jpg,dataset\leopard\0142.jpg,leopard
D:\lab1\dataset\leopard\0143.jpg,dataset\leopard\0143.jpg,leopard
D:\lab1\dataset\leopard\0144.jpg,dataset\leopard\0144.jpg,leopard
D:\lab1\dataset\leopard\0145.jpg,dataset\leopard\0145.jpg,leopard
D:\lab1\dataset\leopard\0146.jpg,dataset\leopard\0146.jpg,leopard
D:\lab1\dataset\leopard\0147.jpg,dataset\leopard\0147.jpg,leopard
D:\lab1\dataset\leopard\0148.jpg,dataset\leopard\0148.jpg,leopard
D:\lab1\dataset\leopard\0149.jpg,dataset\leopard\0149.jpg,leopard
D:\lab1\dataset\leopard\0150.jpg,dataset\leopard\0150.jpg,leopard
D:\lab1\dataset\leopard\0151.jpg,dataset\leopard\0151.jpg,leopard
D:\lab1\dataset\leopard_copy\leopard_0002.jpg,dataset\leopard_copy\leopard_0002.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0003.jpg,dataset\leopard_copy\leopard_0003.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0004.jpg,dataset\leopard_copy\leopard_0004.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0005.jpg,dataset\leopard_copy\leopard_0005.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0006.jpg,dataset\leopard_copy\leopard_0006.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0007.jpg,dataset\leopard_copy\leopard_0007.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0008.jpg,dataset\leopard_copy\leopard_0008.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0009.jpg,dataset\leopard_copy\leopard_0009.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0010.jpg,dataset\leopard_copy\leopard_0010.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0011.jpg,dataset\leopard_copy\leopard_0011.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0012.jpg,dataset\leopard_copy\leopard_0012.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0013.jpg,dataset\leopard_copy\leopard_0013.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0014.jpg,dataset\leopard_copy\leopard_0014.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0015.jpg,dataset\leopard_copy\leopard_0015.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0016.jpg,dataset\leopard_copy\leopard_0016.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0017.jpg,dataset\leopard_copy\leopard_0017.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0018.jpg,dataset\leopard_copy\leopard_0018.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0019.jpg,dataset\leopard_copy\leopard_0019.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0020.jpg,dataset\leopard_copy\leopard_0020.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0021.jpg,dataset\leopard_copy\leopard_0021.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0022.jpg,dataset\leopard_copy\leopard_0022.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0023.jpg,dataset\leopard_copy\leopard_0023.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0024.jpg,dataset\leopard_copy\leopard_0024.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0025.jpg,dataset\leopard_copy\leopard_0025.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0026.jpg,dataset\leopard_copy\leopard_0026.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0027.jpg,dataset\leopard_copy\leopard_0027.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0028.jpg,dataset\leopard_copy\leopard_0028.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0029.jpg,dataset\leopard_copy\leopard_0029.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0030.jpg,dataset\leopard_copy\leopard_0030.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0031.jpg,dataset\leopard_copy\leopard_0031.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0032.jpg,dataset\leopard_copy\leopard_0032.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0033.jpg,dataset\leopard_copy\leopard_0033.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0034.jpg,dataset\leopard_copy\leopard_0034.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0035.jpg,dataset\leopard_copy\leopard_0035.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0036.jpg,dataset\leopard_copy\leopard_0036.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0037.jpg,dataset\leopard_copy\leopard_0037.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0038.jpg,dataset\leopard_copy\leopard_0038.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0039.jpg,dataset\leopard_copy\leopard_0039.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0040.jpg,dataset\leopard_copy\leopard_0040.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0041.jpg,dataset\leopard_copy\leopard_0041.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0042.jpg,dataset\leopard_copy\leopard_0042.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0043.jpg,dataset\leopard_copy\leopard_0043.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0044.jpg,dataset\leopard_copy\leopard_0044.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0045.jpg,dataset\leopard_copy\leopard_0045.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0046.jpg,dataset\leopard_copy\leopard_0046.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0047.jpg,dataset\leopard_copy\leopard_0047.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0048.jpg,dataset\leopard_copy\leopard_0048.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0049.jpg,dataset\leopard_copy\leopard_0049.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0050.jpg,dataset\leopard_copy\leopard_0050.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0051.jpg,dataset\leopard_copy\leopard_0051.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0052.jpg,dataset\leopard_copy\leopard_0052.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0053.jpg,dataset\leopard_copy\leopard_0053.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0054.jpg,dataset\leopard_copy\leopard_0054.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0055.jpg,dataset\leopard_copy\leopard_0055.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0056.jpg,dataset\leopard_copy\leopard_0056.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0057.jpg,dataset\leopard_copy\leopard_0057.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0058.jpg,dataset\leopard_copy\leopard_0058.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0059.jpg,dataset\leopard_copy\leopard_0059.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0060.jpg,dataset\leopard_copy\leopard_0060.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0061.jpg,dataset\leopard_copy\leopard_0061.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0062.jpg,dataset\leopard_copy\leopard_0062.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0063.jpg,dataset\leopard_copy\leopard_0063.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0064.jpg,dataset\leopard_copy\leopard_0064.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0065.jpg,dataset\leopard_copy\leopard_0065.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0066.jpg,dataset\leopard_copy\leopard_0066.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0067.jpg,dataset\leopard_copy\leopard_0067.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0068.jpg,dataset\leopard_copy\leopard_0068.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0069.jpg,dataset\leopard_copy\leopard_0069.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0070.jpg,dataset\leopard_copy\leopard_0070.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0071.jpg,dataset\leopard_copy\leopard_0071.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0072.jpg,dataset\leopard_copy\leopard_0072.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0073.jpg,dataset\leopard_copy\leopard_0073.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0074.jpg,dataset\leopard_copy\leopard_0074.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0075.jpg,dataset\leopard_copy\leopard_0075.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0076.jpg,dataset\leopard_copy\leopard_0076.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0077.jpg,dataset\leopard_copy\leopard_0077.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0078.jpg,dataset\leopard_copy\leopard_0078.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0079.jpg,dataset\leopard_copy\leopard_0079.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0080.jpg,dataset\leopard_copy\leopard_0080.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0081.jpg,dataset\leopard_copy\leopard_0081.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0082.jpg,dataset\leopard_copy\leopard_0082.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0083.jpg,dataset\leopard_copy\leopard_0083.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0084.jpg,dataset\leopard_copy\leopard_0084.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0085.jpg,dataset\leopard_copy\leopard_0085.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0086.jpg,dataset\leopard_copy\leopard_0086.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0087.jpg,dataset\leopard_copy\leopard_0087.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0088.jpg,dataset\leopard_copy\leopard_0088.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0089.jpg,dataset\leopard_copy\leopard_0089.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0090.jpg,dataset\leopard_copy\leopard_0090.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0091.jpg,dataset\leopard_copy\leopard_0091.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0092.jpg,dataset\leopard_copy\leopard_0092.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0093.jpg,dataset\leopard_copy\leopard_0093.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0094.jpg,dataset\leopard_copy\leopard_0094.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0095.jpg,dataset\leopard_copy\leopard_0095.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0096.jpg,dataset\leopard_copy\leopard_0096.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0097.jpg,dataset\leopard_copy\leopard_0097.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0098.jpg,dataset\leopard_copy\leopard_0098.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0099.jpg,dataset\leopard_copy\leopard_0099.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0100.jpg,dataset\leopard_copy\leopard_0100.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0101.jpg,dataset\leopard_copy\leopard_0101.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0102.jpg,dataset\leopard_copy\leopard_0102.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0103.jpg,dataset\leopard_copy\leopard_0103.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0104.jpg,dataset\leopard_copy\leopard_0104.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0105.jpg,dataset\leopard_copy\leopard_0105.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0106.jpg,dataset\leopard_copy\leopard_0106.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0107.jpg,dataset\leopard_copy\leopard_0107.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0108.jpg,dataset\leopard_copy\leopard_0108.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0109.jpg,dataset\leopard_copy\leopard_0109.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0110.jpg,dataset\leopard_copy\leopard_0110.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0111.jpg,dataset\leopard_copy\leopard_0111.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0112.jpg,dataset\leopard_copy\leopard_0112.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0113.jpg,dataset\leopard_copy\leopard_0113.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0114.jpg,dataset\leopard_copy\leopard_0114.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0115.jpg,dataset\leopard_copy\leopard_0115.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0116.jpg,dataset\leopard_copy\leopard_0116.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0117.jpg,dataset\leopard_copy\leopard_0117.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0118.jpg,dataset\leopard_copy\leopard_0118.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0119.jpg,dataset\leopard_copy\leopard_0119.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0120.jpg,dataset\leopard_copy\leopard_0120.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0121.jpg,dataset\leopard_copy\leopard_0121.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0122.jpg,dataset\leopard_copy\leopard_0122.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0123.jpg,dataset\leopard_copy\leopard_0123.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0124.jpg,dataset\leopard_copy\leopard_0124.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0125.jpg,dataset\leopard_copy\leopard_0125.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0126.jpg,dataset\leopard_copy\leopard_0126.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0127.jpg,dataset\leopard_copy\leopard_0127.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0128.jpg,dataset\leopard_copy\leopard_0128.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0129.jpg,dataset\leopard_copy\leopard_0129.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0130.jpg,dataset\leopard_copy\leopard_0130.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0131.jpg,dataset\leopard_copy\leopard_0131.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0132.jpg,dataset\leopard_copy\leopard_0132.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0133.jpg,dataset\leopard_copy\leopard_0133.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0134.jpg,dataset\leopard_copy\leopard_0134.jpg,leopard_copy
D:\lab1\dataset\leopard_copy\leopard_0135.jpg,dataset\leopard_copy\leopard_0135.jpg,leopard_copy
